id	name
Mp1g01960
Mp1g09960	TDR
Mp1g20490	LISCL
Mp1g26740	TRIHELIX5
Mp2g25260	CCAAT-NFYC3
Mp5g05940	BBX1
Mp4g18230	TRIHELIX17
Mp5g03020	BHLH1
Mp5g09660
Mp6g06850	ASLBD16
Mp6g07410
Mp1g27720	CLV1
Mp7g12630	DELLA2
Mp8g03980	GRAS10
Mp1g25020	C2H2-8
Mp2g20790	DOF1
Mp2g26400	BHLH49
Mp3g05000	1R-MYB8
Mp3g05910
Mp3g19510
Mp3g25200	BHLH41
Mp4g08690
Mp4g15240	TRIHELIX27
Mp4g21790	R2R3-MYB20
Mp5g13160	LD
Mp7g09740	GARP8
Mp7g18530
Mp8g15500	GRAS11
Mp1g03040	TRIHELIX25
Mp1g06180	TRIHELIX18
Mp1g08890	WRKY5
Mp1g09420	R2R3-MYB17
Mp1g07070	ARF3
Mp1g08640	3R-MYB1
Mp1g11660	WOX13
Mp1g10030	SPL2
Mp1g10310	CDC5
Mp1g22880	SCL32
Mp1g23000	BAM1
Mp2g03850	LS
Mp1g10440	DLT
Mp1g01110	BHLH33
Mp2g02280	TRIHELIX30
Mp2g07170	BZIP4
Mp2g24110	C2H2-10
Mp2g25840
Mp3g12980	ASLBD24
Mp3g19670	BBX3
Mp4g00180	WRKY13
Mp4g04910	BHLH16
Mp4g12490	MADS1
Mp5g08810	TRIHELIX23
Mp5g11100	AP2B3-2
Mp5g18050	CLE2
Mp1g03100	TRIHELIX26
Mp1g23310	TRIHELIX22
Mp1g24520	4R-MYB1
Mp3g00010	WRKY1
Mp3g17660	WRKY7
Mp4g04920	BHLH17
Mp5g09130	GATA5
Mp1g05310	GATA1
Mp2g02150	TRIHELIX29
Mp4g13880
Mp5g21990	NSP1
Mp1g19590	TCP2
Mp2g25420
Mp3g23720
Mp6g02620	NAC7
Mp1g03580	BZIP15
Mp2g00500	BHLH47
Mp4g06170	BHLH23
Mp4g20600	RRB
Mp6g07050	CLE1 
Mp6g13820	SCL4
Mp1g02890	E2F
Mp1g09040
Mp2g00910	BHLH3
Mp4g11030
Mp5g00110
Mp5g20660	DELLA1
Mp1g12750	ARF1
Mp1g24950	WRKY11
Mp2g07150	BHLH29
Mp2g10620
Mp2g11520	CXC1
Mp2g22250	AP2B3-1
Mp2g23600	ABI5A
Mp3g02830	R2R3-MYB4
Mp3g06860	SAWADEE
Mp3g21490	C2H2-14
Mp4g01540	BHLH10
Mp4g07330	GARP4
Mp4g08700	GARP2
Mp4g11820	ARF2
Mp4g15170	GARP6
Mp5g13130
Mp5g18910	BHLH40
Mp6g00540	TZF
Mp7g00210	BZIP10
Mp7g11330	GARP5
Mp8g01190	BBX4
Mp7g16300	R2R3-MYB18
Mp7g19570
Mp1g16790	TRIHELIX1
Mp2g11220	1R-MYB9
Mp3g01640
Mp3g09590
Mp6g08290	ASLBD8
Mp6g10210	C2H2-4
Mp8g01770	SCLA
Mp8g14220
Mp8g16900	GRF
Mp1g10020
Mp1g13260	BZR2
Mp1g21450	RR-MYB1
Mp1g29240	TRIHELIX24
Mp2g05070	BHLH12
Mp2g13330	TGA
Mp2g22110	R2R3-MYB11
Mp2g24200	C2HDZ
Mp3g00600	BZIP2
Mp3g04970	GARP1
Mp3g10830	TRIHELIX15
Mp3g10970	TRIHELIX14
Mp3g20900
Mp3g23170	R2R3-MYB8
Mp4g02060	PHD
Mp4g11860
Mp4g22430	1R-MYB7
Mp5g01530	NAC6
Mp5g12480	ERF18
Mp5g20530	IDDL3
Mp6g04430
Mp6g05720
Mp6g15470	TRIHELIX20
Mp6g17420	TRIHELIX37
Mp7g00650	ASLBD5
Mp7g03490	GATA4
Mp7g03700	B3-5
Mp7g06290	TRIHELIX21
Mp7g07550	IDDL4
Mp7g09490	TCP1
Mp7g09710	C4HDZ
Mp7g12800	TRIHELIX7
Mp7g13760	ERF2
Mp7g15840
Mp7g16910	TRIHELIX19
Mp7g17020	ERF11
Mp8g04010
Mp8g04130	BHLH24
Mp8g06230	BHLH51
Mp8g07390	BZR1
Mp8g08100	TRIHELIX33
Mp8g09250	ASLBD17
Mp8g10640	WRKY2
Mp8g11450	AP2L1
Mp8g11560	ASLBD2
Mp8g11850
Mp8g12800	NIN/NLP
Mp8g13470	BBX5
Mpzg01410	LRL
