Genes,0a,0b,4a,4b,8a,8b,12a,12b,16a,16b,20a,20b
Mp1g00010,54.11886287,43.71459584,22.14481708,14.93998516,9.755801242,29.49818989,10.10696089,21.53271791,0,11.6613541,35.91930875,7.996729081
Mp1g00020,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0.120099549,128852.2776
Mp1g00030,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g00040,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g00050,95.7618583,141.8690547,63.84592717,78.45344151,587.3373787,65.91142665,59.8763919,61.05440948,24.90925051,71.95457302,428.9732704,1290.210074
Mp1g00060,1912.432599,2145.357253,800.5272942,535.4040542,2817.099733,600.2082843,727.5662719,766.855163,1104.418797,1093.149377,3971.120589,7043.583437
Mp1g00070,91.69335359,76.3141308,239.3048757,129.9078814,107.3659372,327.7114791,237.5656507,230.0042864,94.5478668,102.1048031,55.39849931,196.5916042
Mp1g00080,9827.287998,9174.289136,13612.29857,9396.549798,19124.1749,12431.1927,10252.42017,9390.228446,6275.462829,6177.898028,13951.32429,11034.28387
Mp1g00090,549.8747168,483.5296311,358.2007358,534.9582866,505.3098847,435.1330304,478.8418547,480.4758441,467.8636335,463.8388067,430.1188503,545.3867637
Mp1g00100,635.0363761,648.4565504,744.1651904,921.6430675,357.0963669,715.0856004,639.961118,748.186093,550.9891189,580.6453032,387.0506607,287.5838654
Mp1g00110,310.724293,254.6711768,419.2601341,444.654704,994.3224581,454.3749025,380.1116095,358.0556347,296.1792586,281.3392915,543.8207711,953.5287379
Mp1g00120,1238.016814,1257.738901,853.7529301,1037.850838,801.3890163,660.1224926,641.8748125,642.8122905,673.8881167,700.4627149,1298.472718,1341.695546
Mp1g00130,1.39E-17,1.39E-17,0.958766993,0.013525867,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g00140,1721.005688,1533.019977,2293.582156,2865.699332,1851.735115,2302.200013,2052.328314,2103.876901,1831.779619,1843.085111,1327.162944,1595.730435
Mp1g00150,21.09620044,18.56914374,40.85639642,84.59719758,16.2511406,42.32486884,18.50576343,36.23834819,20.95449889,38.28435861,7.178603408,9.469085869
Mp1g00160,1729.224886,1641.256424,1616.129366,1545.235286,2256.849403,1308.646791,1353.619742,1384.365891,1181.509417,1167.366095,1973.332328,2545.844914
Mp1g00170,299.1642341,290.5310511,273.8246477,262.5902185,321.5628559,247.1683366,238.8094829,237.3364418,296.4568699,278.39488,419.4319795,474.6936302
Mp1g00180,30.59974268,50.66446867,15.8340746,20.0576868,55.28165702,19.84833472,14.55374264,17.21634697,22.80422513,16.65413827,32.19721824,40.04812932
Mp1g00190,584.6503833,575.2658191,576.5204899,531.8806977,716.8990151,718.5987036,850.5803628,792.0333639,586.1331861,599.1665575,571.3770474,432.5157534
Mp1g00200,0.828741719,7.173915972,0,5.439026639,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g00210,414.1179208,507.1914759,403.1283985,316.3309453,189.7988461,334.7101387,293.4930225,258.4760841,345.9181285,293.5913089,212.843064,33.57373836
Mp1g00220,505.9191515,536.2236013,625.6285264,621.8494312,276.7603107,620.6133402,598.120947,596.8568122,567.947572,579.2122592,394.4849589,177.4226346
Mp1g00230,1637.565622,1636.093983,1631.350595,1739.579166,867.7517907,1728.544742,1791.508481,1672.250124,1676.803295,1740.296809,1339.307616,455.2597813
Mp1g00240,11.99085541,6.216801123,14.31148566,11.23622684,2.546999154,12.60014709,3.70344098,4.925528012,6.311333705,2.120174801,2.04102223,0.126159455
Mp1g00250,1844.678818,1793.8309,2124.967003,2142.950005,7183.142716,2464.668867,2289.889562,2346.976092,1746.294669,1758.044224,3768.486575,6723.094305
Mp1g00260,2.754457043,2.069054444,6.656962811,7.806106444,16.37206244,8.175287312,1.860790996,3.307158985,3.822753237,3.846360073,5.239706543,16.67359486
Mp1g00270,942.0542925,892.7989465,994.8721848,816.8525928,1040.927996,801.9737893,1033.962347,1381.347951,726.6037411,704.2513256,908.2914766,1562.312964
Mp1g00280,5.514214904,4.138590235,1.871531798,5.50134215,0.217776474,3.378065809,1.860608386,2.455776557,1.317718595,5.625795701,7.17329578,8.014334816
Mp1g00290,221.82971,183.5348072,213.3803149,292.5637245,186.6865343,190.5361656,222.5824265,276.7179141,192.4291574,173.8279013,153.5615591,99.37718172
Mp1g00300,1.863156011,0.006984243,0,2.179600279,1.39E-17,1.39E-17,1.861100033,1.605131268,1.39E-17,1.39E-17,3.091162564,7.54564005
Mp1g00310,274.9276494,260.83625,231.6031956,182.2509217,103.1690099,198.4164168,188.2092949,171.2186464,233.7719061,188.4015653,144.3833203,135.5201431
Mp1g00320,833.8812236,872.1654393,622.2597622,574.3372421,493.15849,579.1191479,759.2523728,773.350603,915.6804593,1094.907516,679.8149638,180.1032341
Mp1g00330,121.953345,96.93954079,125.8520907,87.3293996,152.589348,171.7233734,158.3068287,194.3088403,117.569884,112.0354361,95.25512474,115.5248205
Mp1g00340,350.9546843,361.8560203,237.2203378,298.1973918,274.0846302,350.8744243,312.9952942,334.5079555,370.2562452,339.2836648,225.325926,321.1753662
Mp1g00350,0,2.048114074,1.39E-17,1.39E-17,0.113850189,1.680793478,0,4.259482132,0.792179936,0,0.010326127,4.250789289
Mp1g00360,321.604565,354.6314017,399.3777064,238.2546277,814.23689,618.9937012,585.959563,620.8367972,380.352775,298.9241,322.6121938,474.0835416
Mp1g00370,514.063514,539.1736366,482.1190081,593.1677951,583.8356468,498.3632229,507.7222471,509.0270448,541.2293053,494.675172,523.3076636,669.3821098
Mp1g00380,2054.542154,1940.238184,1813.332167,2138.389375,1566.828165,1850.454845,1725.359588,1631.473257,1470.753894,1489.007665,1028.041426,499.6676314
Mp1g00390,2.675956787,7.189309798,0.921295411,4.383290362,1.785877659,2.473646401,14.95953877,9.627459163,8.038560064,0.495848287,3.06048473,0.184697606
Mp1g00400,909.9292244,979.3781315,835.6691622,922.8269027,890.5811897,952.7175376,893.3639622,1029.614612,881.3581655,1031.487936,931.8461023,780.1650955
Mp1g00410,87.13176547,68.07368128,95.29152907,92.7571417,57.8927969,73.23433481,87.53912517,96.31796401,102.184161,109.8322283,77.88727952,149.7428916
Mp1g00420,1046.538816,951.5683299,918.5566347,1084.793412,841.5672527,925.639907,1064.855719,978.8328547,983.8300137,969.4466003,1295.375363,1081.384379
Mp1g00430,876.9672236,881.4498532,818.5374472,825.6755696,1121.47064,742.8952787,721.0898872,663.9479338,565.4934801,594.5588178,1234.987007,1320.652497
Mp1g00440,1175.685942,1245.361335,787.0902575,798.8573146,842.6577778,776.8370094,870.1009136,922.6728533,1176.124303,1205.289231,1007.58951,629.5462972
Mp1g00450,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g00460,1.39E-17,1.39E-17,1.39E-17,1.39E-17,0.058270746,0.830913042,0,0.836798623,1.39E-17,1.39E-17,4.09468746,3.361852752
Mp1g00470,0.78600737,12.29843968,3.801624573,4.463213754,11.43028036,10.64231627,1.768371334,10.09332761,10.27431221,2.78749168,2.078011394,10.28991884
Mp1g00480,4591.94736,4928.884104,4881.663725,6149.388548,3300.592421,4785.861645,4369.185689,5418.525378,4597.797815,4664.952617,2411.528029,1478.471916
Mp1g00490,1884.067737,1902.073204,1232.942897,2044.337754,948.4319119,1226.368802,1461.713484,1381.031361,3079.532318,3576.564975,1208.394346,1720.848954
Mp1g00500,12.97662172,3.140569853,0,1.09614792,0.217776474,3.378065809,0,0.836798623,0,4.105609625,1.076783087,23.4347365
Mp1g00510,344.6293863,283.5369684,247.7720388,224.6356284,332.7359172,224.7054657,310.2371445,295.2506928,334.9599109,362.6559132,339.9905335,376.6660337
Mp1g00520,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g00530,469.2092271,436.0981361,708.9601753,694.9699397,522.8650164,667.8903597,640.9439824,640.3628758,570.2131924,530.2566931,441.3523617,420.5924399
Mp1g00540,809.1878388,750.5333092,830.9216153,851.3640952,719.2170122,903.5824831,1050.875653,982.9271298,812.9476014,743.6168247,1008.596048,541.3237085
Mp1g00550,2341.423613,1942.309024,678.3980186,909.3070613,396.7371113,284.6997319,485.2825951,626.7254664,1685.237371,1692.326932,2055.252516,2603.8871
Mp1g00560,1025.496609,857.7656016,525.9726796,589.8690303,386.2148736,376.1047711,570.1497187,555.5006307,799.0076782,870.600021,694.2401245,442.6355811
Mp1g00570,1783.26172,1818.566061,1862.970269,1508.458334,2959.345909,1941.937695,2253.591635,2083.389211,1687.549717,1662.153973,2522.210211,3227.210119
Mp1g00580,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g00590,1.39E-17,1.39E-17,0,4.351051706,1.448758655,0,1.39E-17,1.39E-17,0,1.022949232,1.39E-17,1.39E-17
Mp1g00600,42.22227395,31.98865446,40.93867199,50.20341873,32.57597643,66.11029959,68.02998015,66.86536828,66.64624895,49.78627772,49.05720503,8.37346922
